py_depth,my_depth
-1.895357430213781829e-04,-4.348754882812500000e-04
3.117968685275728132e-04,5.340576171875000000e-05
7.171208712619659125e-04,4.272460937500000000e-04
8.490655150838144439e-04,6.790161132812500000e-04
8.900919045578846228e-04,6.790161132812500000e-04
7.568210846715996707e-04,5.645751953125000000e-04
5.616454019538211868e-04,4.882812500000000000e-04
3.525965574347785089e-04,7.629394531250000000e-05
2.369567295745577762e-04,-7.629394531250000000e-06
3.129191119680734207e-04,-9.918212890625000000e-05
2.752354590564426288e-04,1.983642578125000000e-04
-2.909543023674830003e-04,-3.967285156250000000e-04
-9.919973740400488214e-04,-1.213073730468750000e-03
-1.341108451736954628e-03,-1.655578613281250000e-03
-1.019725046276674738e-03,-1.174926757812500000e-03
-7.171689861810591395e-04,-5.874633789062500000e-04
-8.820742049270275482e-04,-9.078979492187500000e-04
-1.241844544838777587e-03,-1.083374023437500000e-03
-8.981440524772704931e-04,-7.934570312500000000e-04
-5.543034417172722651e-04,-5.416870117187500000e-04
-1.067759858121535357e-03,-9.841918945312500000e-04
-1.350034564428756511e-03,-1.594543457031250000e-03
-1.514930942095658699e-03,-2.021789550781250000e-03
-1.577134177289111995e-03,-1.785278320312500000e-03
-1.431554668147683260e-03,-1.953125000000000000e-03
-9.751486535589751767e-04,-1.342773437500000000e-03
-2.676930790733658564e-04,-5.798339843750000000e-04
3.240363238340328712e-05,4.577636718750000000e-05
2.279301270243545981e-04,6.103515625000000000e-05
1.586761053640995626e-04,1.144409179687500000e-04
2.334867268642498131e-04,2.746582031250000000e-04
2.687851331955377248e-04,1.296997070312500000e-04
-9.951529893866339969e-05,-3.204345703125000000e-04
-6.570050534817986360e-04,-1.129150390625000000e-03
-4.172343304237723788e-04,-7.476806640625000000e-04
1.461621662089333633e-04,-3.051757812500000000e-05
3.954637039675909581e-04,3.509521484375000000e-04
3.159096543201296678e-04,6.561279296875000000e-04
3.517958049819915620e-04,4.730224609375000000e-04
-5.774827580508218598e-05,-1.144409179687500000e-04
-8.192062288715749071e-05,-2.517700195312500000e-04
-4.198509780364158934e-04,-7.553100585937500000e-04
-2.541897077306374837e-04,-6.561279296875000000e-04
2.496108151170807563e-04,-9.155273437500000000e-05
6.879530205775177083e-04,3.509521484375000000e-04
8.187593868786226291e-04,7.324218750000000000e-04
9.307528647814860808e-04,7.095336914062500000e-04
8.764895355509087858e-04,6.027221679687500000e-04
6.230582847938697039e-04,6.332397460937500000e-04
4.353766483150704790e-04,2.136230468750000000e-04
2.557609537896136454e-04,1.449584960937500000e-04
1.657169034252044346e-04,-2.136230468750000000e-04
3.567825024838807715e-04,2.288818359375000000e-04
-4.687552680620923873e-05,-1.068115234375000000e-04
-8.478781506605514605e-04,-1.075744628906250000e-03
-1.275258540346432779e-03,-1.457214355468750000e-03
-1.226979917662776717e-03,-1.388549804687500000e-03
-7.575627732439373400e-04,-6.637573242187500000e-04
-8.549449719160291629e-04,-9.078979492187500000e-04
-1.292958810410103259e-03,-1.258850097656250000e-03
-1.041678458300848969e-03,-9.307861328125000000e-04
-7.008627679893470429e-04,-6.256103515625000000e-04
-1.096533252281923230e-03,-1.007080078125000000e-03
-1.470944629055833102e-03,-1.617431640625000000e-03
-1.614782009511904221e-03,-1.937866210937500000e-03
-1.791641194936552861e-03,-1.937866210937500000e-03
-1.482709883139858359e-03,-1.914978027343750000e-03
-1.017146381847698882e-03,-1.449584960937500000e-03
-4.523054609987137717e-04,-6.713867187500000000e-04
-6.119111246997535375e-05,-1.525878906250000000e-04
5.453068328721484863e-05,7.629394531250000000e-06
1.248537340869412099e-04,1.296997070312500000e-04
3.314795042937377116e-04,3.280639648437500000e-04
2.321171395074486980e-04,1.068115234375000000e-04
-6.544480893569333850e-06,-1.831054687500000000e-04
-6.487793999990448899e-04,-1.045227050781250000e-03
-4.871249538976788569e-04,-8.163452148437500000e-04
2.163535896381916460e-06,-1.068115234375000000e-04
3.883391020819389541e-04,4.272460937500000000e-04
4.003545960969389088e-04,6.713867187500000000e-04
3.477959113715186441e-04,7.171630859375000000e-04
4.374717513818790113e-05,-1.678466796875000000e-04
-1.026745929441227293e-04,-1.678466796875000000e-04
-4.045584970793566918e-04,-6.866455078125000000e-04
-3.494552193132446829e-04,-7.095336914062500000e-04
7.357844695654876363e-05,-2.365112304687500000e-04
5.384382305415866049e-04,2.975463867187500000e-04
8.096311099051548563e-04,6.027221679687500000e-04
9.287338401866888308e-04,6.866455078125000000e-04
8.936282022679444079e-04,6.561279296875000000e-04
7.837131162727366740e-04,6.942749023437500000e-04
5.349462679221672103e-04,4.043579101562500000e-04
2.937882935349947727e-04,1.373291015625000000e-04
1.691591527276782667e-04,-6.866455078125000000e-05
2.923592477147618539e-04,2.212524414062500000e-04
6.149244345437157176e-05,8.392333984375000000e-05
-7.486424067361963650e-04,-9.002685546875000000e-04
-1.186815942222352576e-03,-1.319885253906250000e-03
-1.434059674773299200e-03,-1.487731933593750000e-03
-9.440518273931712339e-04,-6.866455078125000000e-04
-8.537328536593532255e-04,-9.231567382812500000e-04
-1.351980625307324822e-03,-1.266479492187500000e-03
-1.212774703893224103e-03,-1.113891601562500000e-03
-8.483298299347316043e-04,-9.994506835937500000e-04
-1.007795208801046463e-03,-1.190185546875000000e-03
-1.469411946546052587e-03,-1.686096191406250000e-03
-1.544007368375560759e-03,-1.953125000000000000e-03
-1.716582274720748020e-03,-2.166748046875000000e-03
-1.571365327464875660e-03,-1.960754394531250000e-03
-1.057913442232908448e-03,-1.441955566406250000e-03
-6.092970271899348375e-04,-7.553100585937500000e-04
-2.282148330452043723e-04,-2.136230468750000000e-04
-1.682315520575518764e-05,-1.678466796875000000e-04
1.814787525171575821e-04,1.983642578125000000e-04
4.026293511417685452e-04,2.822875976562500000e-04
2.921821498904555591e-04,2.212524414062500000e-04
-2.815919235318000064e-05,-9.918212890625000000e-05
-5.827795819266717381e-04,-1.014709472656250000e-03
-5.193972317131731724e-04,-7.781982421875000000e-04
-9.059758598650087297e-05,-2.441406250000000000e-04
3.808104558072495640e-04,4.806518554687500000e-04
4.119355125058076958e-04,7.247924804687500000e-04
4.464045413074540104e-04,7.095336914062500000e-04
-2.514851873937506044e-05,6.103515625000000000e-05
-6.281552737595025673e-05,-2.059936523437500000e-04
-3.627455383160391351e-04,-4.348754882812500000e-04
-3.623184203380158414e-04,-6.637573242187500000e-04
-2.607858283416433017e-05,-2.288818359375000000e-04
3.859037776528413135e-04,1.983642578125000000e-04
6.847066364991570781e-04,5.340576171875000000e-04
8.685325165293628861e-04,6.103515625000000000e-04
8.810650917233776944e-04,7.095336914062500000e-04
8.690378893838587903e-04,6.484985351562500000e-04
6.729668197403970839e-04,4.196166992187500000e-04
3.957319105343454820e-04,2.365112304687500000e-04
2.025711216152091911e-04,-9.155273437500000000e-05
3.214972709672076715e-04,2.441406250000000000e-04
9.238844807979242394e-05,2.670288085937500000e-04
-5.872915908621669043e-04,-7.324218750000000000e-04
-1.140213106568036677e-03,-1.174926757812500000e-03
-1.521701232731189658e-03,-1.647949218750000000e-03
-1.021520549461817128e-03,-7.858276367187500000e-04
-9.444750418047548205e-04,-8.621215820312500000e-04
-1.270650617405529601e-03,-1.235961914062500000e-03
-1.354105518270463200e-03,-1.365661621093750000e-03
-1.060155697245992838e-03,-1.098632812500000000e-03
-1.101197514702190313e-03,-1.174926757812500000e-03
-1.503695136871101030e-03,-1.625061035156250000e-03
-1.532759055077363534e-03,-1.922607421875000000e-03
-1.599456741874620948e-03,-2.075195312500000000e-03
-1.553166779445065270e-03,-1.914978027343750000e-03
-1.164055394908218967e-03,-1.396179199218750000e-03
-7.363729121790842233e-04,-8.773803710937500000e-04
-3.168692355848606521e-04,-3.356933593750000000e-04
-1.465033717070001980e-04,-1.678466796875000000e-04
1.728855620962386499e-04,1.144409179687500000e-04
3.577769588137097142e-04,4.501342773437500000e-04
3.983756324705586935e-04,3.509521484375000000e-04
6.803089038650837641e-05,-2.288818359375000000e-05
-5.984463939852811224e-04,-8.773803710937500000e-04
-5.927282326703995968e-04,-7.629394531250000000e-04
-1.716731648897869722e-04,-4.043579101562500000e-04
2.304919761600451975e-04,2.593994140625000000e-04
4.094175835260183312e-04,7.400512695312500000e-04
4.042112013730198451e-04,8.316040039062500000e-04
-1.037065433704762308e-05,2.288818359375000000e-05
-9.469130143189048048e-05,-1.525878906250000000e-04
-2.187593115047794200e-04,-3.051757812500000000e-04
-3.996152135271450502e-04,-7.324218750000000000e-04
-7.930849046009638497e-05,-2.670288085937500000e-04
